time,altitude,velocity
5.100000,5467.334476,237.200782
13.400000,13412.157208,24.582069
29.300000,7007.195069,-79.408211
30.600000,5962.538965,-81.370971
15.400000,13708.629849,4.309359
22.900000,11518.753478,-57.822967
33.700000,3390.311217,-84.346639
7.000000,8917.865545,135.899716
7.800000,9917.166553,111.958058
12.900000,13273.113938,29.985557
13.700000,13482.733955,21.425376
17.200000,13636.285852,-13.261287
26.000000,9505.067100,-71.359886
5.000000,5235.228343,232.106133
7.700000,9802.538663,114.627890
11.300000,12635.832563,49.006249
12.100000,12992.627283,39.104610
19.300000,13162.292860,-32.404219
31.600000,5143.296236,-82.554390
34.800000,2459.064411,-85.004476
1.400000,326.697279,52.386359
4.800000,4786.526785,221.748762
10.300000,12070.814675,62.940380
18.300000,13438.330346,-23.581895
26.600000,9072.129188,-73.230475
29.100000,7165.485637,-79.056436
36.000000,1435.800588,-85.561420
5.700000,6776.543480,194.477049
17.600000,13577.504090,-17.073673
19.200000,13193.844028,-31.551168
32.400000,4480.041934,-83.334671
28.800000,7401.551618,-78.500989
10.100000,11940.363143,65.996172
31.200000,5472.417220,-82.111021
33.200000,3810.992831,-83.990928
33.300000,3727.001903,-84.065213
2.600000,1246.094434,106.790665
6.000000,7342.735735,177.791212
6.200000,7693.274348,167.930841
8.000000,10138.490591,106.847638
27.700000,8251.429713,-76.150337
35.200000,2118.737433,-85.206797
37.000000,578.485549,-85.924561
1.500000,379.083639,56.588667
10.600000,12255.189123,58.540400
13.000000,13303.099495,28.888991
14.600000,13638.553929,12.241571
18.200000,13460.997279,-22.666933
26.800000,8925.376507,-73.808432
28.000000,8022.276316,-76.843558
0.500000,34.106845,17.347892
2.800000,1464.579563,116.649141
15.200000,13697.055859,6.280030
29.500000,6848.208116,-79.745787
32.000000,4812.457339,-82.961329
2.700000,1352.885099,111.694464
8.600000,10744.132571,93.091975
11.200000,12585.519957,50.312605
20.900000,12546.494833,-45.026487
26.400000,9217.692524,-72.630177
26.700000,8998.898712,-73.522205
1.200000,234.283390,44.167829
3.500000,2387.751253,152.567661
14.200000,13579.515184,16.278228
24.500000,10531.949598,-65.685707
25.700000,9717.126516,-70.343553
19.700000,13027.628432,-35.745057
20.800000,12590.792533,-44.297700
29.400000,6927.786858,-79.578742
31.400000,5308.080758,-82.337444
31.800000,4978.082421,-82.762231
37.300000,320.616406,-86.018620
23.600000,11102.702736,-61.510612
25.000000,10199.328503,-67.746447
25.900000,9576.094407,-71.027306
36.300000,1178.997029,-85.678975
8.200000,10349.737510,102.017401
9.700000,11660.414777,72.440137
10.000000,11872.799245,67.563898
